title,author,description,cover_url,goodreads_id,average_rating,ratings_count,review_count,external_url,genres,language,page_count
Love Is a Dog from Hell,,"Poems rising from and returning to Bukowski's personal experiences reflect people, objects, places, and events of the external world, and reflects on them, on their way out and back.",https://images.gr-assets.com/books/1510136006m/23534.jpg,23534,4.16,19804,709,https://www.goodreads.com/book/show/23534.Love_Is_a_Dog_from_Hell,Poetry,eng,312
"Complete Poems, 1904-1962",,"At the time of his death in 1962, E. E. Cummings was, next to Robert Frost, the most widely read poet in America. Combining Thoreau's controlled belligerence with the brash abandon of an uninhibited bohemian, Cummings, together with Pound, Eliot, and William Carlos Williams, helped bring about the twentieth-century revolution in literary expression. He is recognized on the one hand as the author of some of the most beautiful lyric poems written in the English language, and on the other as one of the most inventive American poets of his time in the worlds of Richard Kostelanetz, ""the major American poet of the middle-twentieth-century.""",https://images.gr-assets.com/books/1355093052m/26596.jpg,26596,4.35,18787,181,https://www.goodreads.com/book/show/26596.Complete_Poems_1904_1962,Poetry,eng,1136
Citizen: An American Lyric,,"A provocative meditation on race, Claudia Rankine's long-awaited follow up to her groundbreaking book Don't Let Me Be Lonely: An American Lyric.
Claudia Rankine's bold new book recounts mounting racial aggressions in ongoing encounters in twenty-first-century daily life and in the media. Some of these encounters are slights, seeming slips of the tongue, and some are intentional offensives in the classroom, at the supermarket, at home, on the tennis court with Serena Williams and the soccer field with Zinedine Zidane, online, on TV-everywhere, all the time. The accumulative stresses come to bear on a person's ability to speak, perform, and stay alive. Our addressability is tied to the state of our belonging, Rankine argues, as are our assumptions and expectations of citizenship. In essay, image, and poetry, Citizenis a powerful testament to the individual and collective effects of racism in our contemporary, often named ""post-race"" society.",https://images.gr-assets.com/books/1420944502m/20613761.jpg,20613761,4.3,15270,1750,https://www.goodreads.com/book/show/20613761-citizen,Poetry,eng,169
The Lady of Shalott,,"The Lady of Shalott is the third book in Visions in Poetry, an award-winning series of classic poems illustrated by outstanding contemporary artists in stunning hardcover editions. Tennyson's beautiful and enigmatic poem of unrequited love, set in Arthurian England, has enthralled artists for well over a century. With her luminous illustrations, Genevi?ve C?t? weaves a refreshingly modern interpretation of this beloved poem -- one that will enchant readers of all ages.' to 'This is a reproduction of a book published before 1923. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into print as part of our continuing commitment to the preservation of printed works worldwide. We appreciate your understanding of the imperfections in the preservation process, and hope you enjoy this valuable book.",https://images.gr-assets.com/books/1400891098m/724371.jpg,724371,4.17,15173,182,https://www.goodreads.com/book/show/724371.The_Lady_of_Shalott,Poetry,eng,40
The Poetry of Pablo Neruda,,"The most comprehensive English-language collection of work ever by ""the greatest poet of the twentieth century - in any language"" - Gabriel Garcia Marquez
""In his work a continent awakens to consciousness."" So wrote the Swedish Academy in awarding the Nobel Prize to Pablo Neruda, the author of more than thirty-five books of poetry and one of Latin America's most revered writers, lionized during his lifetime as ""the people's poet."" This selection of Neruda's poetry, the most comprehensive single volume available in English, presents nearly six hundred poems, scores of them in new and sometimes multiple translations, and many accompanied by the Spanish original. In his introduction, Ilan Stavans situates Neruda in his native milieu as well as in a contemporary English-language one, and a group of new translations by leading poets testifies to Neruda's enduring, vibrant legacy among English-speaking writers and readers today.",https://images.gr-assets.com/books/1417605511m/5936.jpg,5936,4.44,14823,236,https://www.goodreads.com/book/show/5936.The_Poetry_of_Pablo_Neruda,Poetry,eng,1040
The Faerie Queene,,"The Faerie Queenewas the first epic in English and one of the most influential poems in the language for later poets from Milton to Tennyson. Dedicating his work to Elizabeth I, Spenser brilliantly united medieval romance and renaissance epic to expound the glory of the Virgin Queen. The poem recounts the quests of knights including Sir Guyon, Knight of Constance, who resists temptation, and Artegall, Knight of Justice, whose story alludes to the execution of Mary Queen of Scots.
Composed as an overt moral and political allegory, The Faerie Queene, with its dramatic episodes of chivalry, pageantry and courtly love, is also a supreme work of atmosphere, colour and sensuous description.",https://images.gr-assets.com/books/1328308492m/765427.jpg,765427,3.55,13416,249,https://www.goodreads.com/book/show/765427.The_Faerie_Queene,Poetry,eng,1248
Crush,,"Richard Siken's Crush, selected as the 2004 winner of the Yale Younger Poets prize, is a powerful collection of poems driven by obsession and love. Siken writes with ferocity, and his reader hurtles unstoppably with him. His poetry is confessional, gay, savage, and charged with violent eroticism. In the world of American poetry, Siken's voice is striking. In her introduction to the book, competition judge Louise Gluck hails the ""cumulative, driving, apocalyptic power, [and] purgatorial recklessness"" of Siken's poems. She notes, ""Books of this kind dream big. . . . They restore to poetry that sense of crucial moment and crucial utterance which may indeed be the great genius of the form.""",https://images.gr-assets.com/books/1422764050m/96259.jpg,96259,4.33,12173,793,https://www.goodreads.com/book/show/96259.Crush,Poetry,eng,62
I Wrote This For You,,"I need you to understand something. I wrote this for you. I wrote this for you and only you. Everyone else who reads it, doesn't get it. They may think they get it, but they don't. This is the sign you've been looking for. You were meant to read these words.",https://images.gr-assets.com/books/1413756174m/13105527.jpg,13105527,4.16,12106,1168,https://www.goodreads.com/book/show/13105527-i-wrote-this-for-you,Poetry,eng,194
Sailing Alone Around the Room: New and Selected Poems,,"Sailing Alone Around the Room, by America's Poet Laureate, Billy Collins, contains both new poems and a generous gathering from his earlier collections The Apple That Astonished Paris, Questions About Angels, The Art of Drowning, and Picnic, Lightning. These poems show Collins at his best, performing the kinds of distinctive poetic maneuvers that have delighted and fascinated so many readers. They may begin in curiosity and end in grief; they may start with irony and end with lyric transformation; they may, and often do, begin with the everyday and end in the infinite. Possessed of a unique voice that is at once plain and melodic, Billy Collins has managed to enrich American poetry while greatly widening the circle of its audience.",https://images.gr-assets.com/books/1403183272m/676.jpg,676,4.23,11173,563,https://www.goodreads.com/book/show/676.Sailing_Alone_Around_the_Room,Poetry,eng,192
You Get So Alone at Times That it Just Makes Sense,,"Charles Bukowski examines cats and his childhood in You Get So Alone at Times, a book of poetry that reveals his tender side. He delves into his youth to analyze its repercussions.",https://images.gr-assets.com/books/1407708933m/38504.jpg,38504,4.26,9973,432,https://www.goodreads.com/book/show/38504.You_Get_So_Alone_at_Times_That_it_Just_Makes_Sense,Poetry,eng,320
Autobiography of Red,,"The award-winning poet Anne Carson reinvents a genre in Autobiography of Red, a stunning work that is both a novel and a poem, both an unconventional re-creation of an ancient Greek myth and a wholly original coming-of-age story set in the present.
Geryon, a young boy who is also a winged red monster, reveals the volcanic terrain of his fragile, tormented soul in an autobiography he begins at the age of five. As he grows older, Geryon escapes his abusive brother and affectionate but ineffectual mother, finding solace behind the lens of his camera and in the arms of a young man named Herakles, a cavalier drifter who leaves him at the peak of infatuation. When Herakles reappears years later, Geryon confronts again the pain of his desire and embarks on a journey that will unleash his creative imagination to its fullest extent. By turns whimsical and haunting, erudite and accessible, richly layered and deceptively simple, Autobiography of Red is a profoundly moving portrait of an artist coming to terms with the fantastic accident of who he is.
""A profound love story . . . sensuous and funny, poignant, musical and tender.""--The New York Times Book Review
""A deeply odd and immensely engaging book. . . . [Carson] exposes with passionate force the mythic underlying the explosive everyday."" --The Village Voice
A NEW YORK TIMES NOTABLE BOOK OF THE YEAR
National book Critics Circle Award Finalist",https://images.gr-assets.com/books/1403176248m/61049.jpg,61049,4.32,9949,946,https://www.goodreads.com/book/show/61049.Autobiography_of_Red,Poetry,eng,149
A Coney Island of the Mind,,"The title of this book is taken from Henry Miller's ""Into the Night Life""and expresses the way Lawrence Ferlinghetti felt about these poems when he wrote them during a short period in the 1950's--as if they were, taken together, a kind of Coney Island of the mind, a kind of circus of the soul.",https://images.gr-assets.com/books/1327958248m/99713.jpg,99713,4.16,9503,287,https://www.goodreads.com/book/show/99713.A_Coney_Island_of_the_Mind,Poetry,eng,93
Hot Water Music,,"With his characteristic raw and minimalist style, Charles Bukowski takes us on a walk through his side of town in Hot Water Music. He gives us little vignettes of depravity and lasciviousness, bite sized pieces of what is both beautiful and grotesque.
The stories in Hot Water Musicdash around the worst parts of town - a motel room stinking of sick, a decrepit apartment housing a perpetually arguing couple, a bar tended by a skeleton - and depict the darkest parts of human existence. Bukowski talks simply and profoundly about the underbelly of the working class without raising judgement.
In the way he writes about sex, relationships, writing, and inebriation, Bukowski sets the bar for irreverent art - his work inhabits the basest part of the mind and the most extreme absurdity of the everyday.",https://images.gr-assets.com/books/1428126071m/50453.jpg,50453,3.93,8926,288,https://www.goodreads.com/book/show/50453.Hot_Water_Music,Poetry,eng,224
The Gay Science,,"Nietzsche called The Gay Science ""the most personal of all my books."" It was here that he first proclaimed the death of God -- to which a large part of the book is devoted -- and his doctrine of the eternal recurrence.
Walter Kaufmann's commentary, with its many quotations from previously untranslated letters, brings to life Nietzsche as a human being and illuminates his philosophy. The book contains some of Nietzsche's most sustained discussions of art and morality, knowledge and truth, the intellectual conscience and the origin of logic.
Most of the book was written just before Thus Spoke Zarathustra, the last part five years later, after Beyond Good and Evil. We encounter Zarathustra in these pages as well as many of Nietzsche's most interesting philosophical ideas and the largest collection of his own poetry that he himself ever published.
Walter Kaufmann's English versions of Nietzsche represent one of the major translation enterprises of our time. He is the first philosopher to have translated Nietzsche's major works, and never before has a single translator given us so much of Nietzsche.",https://images.gr-assets.com/books/1374735026m/94578.jpg,94578,4.26,8876,220,https://www.goodreads.com/book/show/94578.The_Gay_Science,Poetry,eng,398
The Portable Dorothy Parker,,"This collection ranges over the verse, stories, essays, and journalism of one of the twentieth century's most quotable authors.",https://images.gr-assets.com/books/1386926061m/46231.jpg,46231,4.34,8776,304,https://www.goodreads.com/book/show/46231.The_Portable_Dorothy_Parker,Poetry,eng,610
The Collected Poems of Emily Dickinson,,"&&LDIV&&R&&LDIV&&R&&LI&&RThe Collected Poems of Emily Dickinson&&L/I&&R, by &&LB&&REmily Dickinson&&L/B&&R, is part of the &&LI&&R&&LI&&RBarnes & Noble Classics&&L/I&&R &&L/I&&Rseries, which offers quality editions at affordable prices to the student and the general reader, including new scholarship, thoughtful design, and pages of carefully crafted extras. Here are some of the remarkable features of &&LI&&RBarnes & Noble Classics&&L/I&&R: &&LDIV&&R
New introductions commissioned from today's top writers and scholars
Biographies of the authors
Chronologies of contemporary historical, biographical, and cultural events
Footnotes and endnotes
Selective discussions of imitations, parodies, poems, books, plays, paintings, operas, statuary, and films inspired by the work
Comments by other famous authors
Study questions to challenge the reader's viewpoints and expectations
Bibliographies for further reading
Indices & Glossaries, when appropriate
All editions are beautifully designed and are printed to superior specifications; some include illustrations of historical interest. &&LI&&RBarnes & Noble Classics &&L/I&&Rpulls together a constellation of influences--biographical, historical, and literary--to enrich each reader's understanding of these enduring works.&&L/DIV&&R&&L/DIV&&R&&L/DIV&&R&&LDIV&&R &&L/DIV&&R&&LDIV&&RBorn in Amherst, Massachusetts in 1830, &&LB&&RDickinson&&L/B&&R began life as an energetic, outgoing young woman who excelled as a student. However, in her mid-twenties she began to grow reclusive, and eventually she rarely descended from her room in her father's house. She spent most of her time working on her poetry, largely without encouragement or real interest from her family and peers, and died at age fifty-five. Only a handful of her 1,775 poems had been published during her lifetime. When her poems finally appeared after her death, readers immediately recognized an artist whose immense depth and stylistic complexities would one day make her the most w",https://images.gr-assets.com/books/1411632009m/67522.jpg,67522,4.21,8458,145,https://www.goodreads.com/book/show/67522.The_Collected_Poems_of_Emily_Dickinson,Poetry,eng,361
The Complete English Poems,,"Yet it is only this century that Donne has been indisputably established as a great poet--and even, many feel, the greatest love poet of them all. Jonson went on to remark that 'That Donne, for not keeping of an accent, deserved hanging', yet Donne's rhythms, once thought 'unmusical' are now recognized as the natural rhythms of the speaking voice; his 'eccentricity' as a complex self-doubt; his 'obscurity' the reflection of a brilliantly learned and allusive mind. Poets such as Eliot and Empson have found Donne's poetry profoundly attuned to our modern age, while Yeats' glowing comment will always be true: 'the intricacy and subtlety of his imagination are the length and depth of the furrow made by his passion.'
This volume, superbly edited by Professor Smith, is the first complete edition to make a serious attempt to guide the reader closely through the complexities of Donne's poetry. Considerable attention has been paid to the text, and a selection of the important manuscript variants are included. This edition is also the first to make use of the newly discovered manuscript of the verse letter to Lady Carey and Mistress Essex Rich.",https://images.gr-assets.com/books/1373042930m/134025.jpg,134025,4.14,8309,59,https://www.goodreads.com/book/show/134025.The_Complete_English_Poems,Poetry,eng,0
Trout Fishing in America / The Pill vs. the Springhill Mine Disaster / In Watermelon Sugar,,"An omnibus edition of three counterculture classics by Richard Brautigan that embody the spirit of the 1960s.
Trout Fishing in Americais by turns a hilarious, playful, and melancholy novel that wanders from San Francisco through America's rural waterways; In Watermelon Sugarexpresses the mood of a new generation, revealing death as a place where people travel the length of their dreams, rejecting violence and hate; and The Pill Versus the Springhill Mine Disasteris a collection of nearly 100 poems, first published in 1968.",https://images.gr-assets.com/books/1399136422m/12568.jpg,12568,4.15,8099,363,https://www.goodreads.com/book/show/12568.Trout_Fishing_in_America_The_Pill_vs_the_Springhill_Mine_Disaster_In_Watermelon_Sugar,Poetry,eng,400
Bluets,,"Suppose I were to begin by saying that I had fallen in love with a color...
A lyrical, philosophical, and often explicit exploration of personal suffering and the limitations of vision and love, as refracted through the color blue. With Bluets, Maggie Nelson has entered the pantheon of brilliant lyric essayists.
Maggie Nelson is the author of numerous books of poetry and nonfiction, including Something Bright, Then Holes(Soft Skull Press, 2007) and Women, the New York School, and Other True Abstractions(University of Iowa Press, 2007). She lives in Los Angeles and teaches at the California Institute of the Arts.",https://images.gr-assets.com/books/1354902976m/6798263.jpg,6798263,4.29,7861,763,https://www.goodreads.com/book/show/6798263-bluets,Poetry,eng,112
Teaching My Mother How to Give Birth,,"What elevates 'teaching my mother how to give birth', what gives the poems their disturbing brilliance, is Warsan Shire's ability to give simple, beautiful eloquence to the veiled world where sensuality lives in the dominant narrative of Islam; reclaiming the more nuanced truths of earlier times - as in Tayeb Salih's work - and translating to the realm of lyric the work of the likes of Nawal El Saadawi. As Rumi said, ""Love will find its way through all languages on its own""; in 'teaching my mother how to give birth', Warsan's debut pamphlet, we witness the unearthing of a poet who finds her way through all preconceptions to strike the heart directly. Warsan Shire is a Kenyan-born Somali poet and writer who is based in London. Born in 1988, she is an artist and activist who uses her work to document narratives of journey and trauma. Warsan has read her work internationally, including recent readings in South Africa, Italy and Germany, and her poetry has been translated into Italian, Spanish and Portuguese.",https://images.gr-assets.com/books/1456003618m/13376363.jpg,13376363,4.38,7830,745,https://www.goodreads.com/book/show/13376363-teaching-my-mother-how-to-give-birth,Poetry,eng,37
The Prophet: Gibran's Masterpiece,,"Kahlil Gibran's masterpiece, The Prophet, is one of the most beloved classics of our time. Published in 1923, it has been translated into more than twenty languages, and the American editions alone have sold more than nine million copies.
The Prophet is a collection of poetic essays that are philosophical, spiritual, and, above all, inspirational. Gibran's musings are divided into twenty-eight chapters covering such sprawling topics as love, marriage, children, giving, eating and drinking, work, joy and sorrow, housing, clothes, buying and selling, crime and punishment, laws, freedom, reason and passion, pain, self-knowledge, teaching, friendship, talking, time, good and evil, prayer, pleasure, beauty, religion, and death.
Each essay reveals deep insights into the impulses of the human heart and mind. The Chicago Post said of The Prophet: ""Cadenced and vibrant with feeling, the words of Kahlil Gibran bring to one's ears the majestic rhythm of Ecclesiastes . . . If there is a man or woman who can read this book without a quiet acceptance of a great man's philosophy and a singing in the heart as of music born within, that man or woman is indeed dead to life and truth.""
With twelve full-page drawings by Gibran, this beautiful work makes an incredible gift for anyone seeking enlightenment and inspiration.",https://images.gr-assets.com/books/1356351753m/394424.jpg,394424,4.23,7828,615,https://www.goodreads.com/book/show/394424.The_Prophet,Poetry,eng,96
Kaddish and Other Poems,,"Great strange visionary poems by the author of Howl, ""in the midst of the broken consciousness of mid-twentieth century . . .""
In the midst of the broken consciousness of mid-twentieth century suffering anguish of separation from my own body and its natural infinity of feeling its own self one with all self, I instinctively seeking to reconstitute that blissful union which I experience so rarely. I took it to be supernatural an gave it holy Name thus made hymn laments of longing and litanies of triumphancy of Self over mind-illusion mechano-universe of un-feeling Time in which I saw my self my own mother and my very nation trapped desolate our worlds of consciousness homeless and at war except for the original trembling of bliss in breast and belly of every body that nakedness rejected in suits of fear that familiar defenseless living hurt self which is myself same as all others abandoned scared to own unchanging desire for each other. These poems almost unconscious to confess the beatific human fact, the language intuitively chosen as in trance & dream, the rhythms rising on breath from belly thru breast, the hymn completed in tears, the movement of the physical poetry demanding and receiving decades of life while chanting Kaddish the names of Death in many worlds the self seeking the Key to life found at last in our self.",https://images.gr-assets.com/books/1327958040m/47180.jpg,47180,4.19,7760,91,https://www.goodreads.com/book/show/47180.Kaddish_and_Other_Poems,Poetry,eng,99
Idylls of the King,,"Alternate cover edition of ISBN10: 0140422536; ISBN13: 9780140422535
Written in the middle of his career, Idylls of the King is Tennyson's longest and most ambitious work. Reflecting his lifelong interest in Arthurian themes, his primary sources were Malory's Morte d'Arthur and the Welsh Mabinogion. For him, the Idylls embodied the universal and unending war between sense and soul, and Arthur the highest ideals of manhood and kingship; an attitude totally compatible with the moral outlook of his age. Poetically, Tennyson was heir to the Romantics, and Keats's influence in particular can be seen clearly in much of his work. Yet Tennyson's style is undoubtedly his own and he achieved a delicacy of phrase and subtlety of metrical effect that are unmatched. This edition, based on the text authorized by Tennyson himself, contains full critical apparatus.",https://images.gr-assets.com/books/1380979896m/393636.jpg,393636,3.94,7592,142,https://www.goodreads.com/book/show/393636.Idylls_of_the_King,Poetry,eng,384
Salt,,"Saltis a journey through warmth and sharpness. This collection of poetry explores the realities of multiple identities, language, diasporic life & pain, the self, community, healing, celebration, and love.",https://images.gr-assets.com/books/1380105266m/18585282.jpg,18585282,4.43,7326,853,https://www.goodreads.com/book/show/18585282-salt,Poetry,eng,251
A Thousand Mornings,,"In A Thousand Mornings, Mary Oliver returns to the imagery that has come to define her life's work, transporting us to the marshland and coastline of her beloved home, Provincetown, Massachusetts. In these pages, Oliver shares the wonder of dawn, the grace of animals, and the transformative power of attention. Whether studying the leaves of a tree or mourning her adored dog, Percy, she is ever patient in her observations and open to the teachings contained in the smallest of moments.
Our most precious chronicler of physical landscape, Oliver opens our eyes to the nature within, to its wild and its quiet. With startling clarity, humor, and kindness, A Thousand Morningsexplores the mysteries of our daily experience.",https://images.gr-assets.com/books/1345433150m/13588404.jpg,13588404,4.19,6798,684,https://www.goodreads.com/book/show/13588404-a-thousand-mornings,Poetry,eng,82
Paris Spleen,,"Set in a modern, urban Paris, the prose pieces in this volume constitute a further exploration of the terrain Baudelaire had covered in his verse masterpiece, The Flowers of Evil: the city and its squalor and inequalities, the pressures of time and mortality, and the liberation provided by the sensual delights of intoxication, art, and women. Published posthumously in 1869, Paris Spleenwas a landmark publication in the development of the genre of prose poetry--a format which Baudelaire saw as particularly suited for expressing the feelings of uncertainty, flux, and freedom of his age--and one of the founding texts of literary modernism.",https://images.gr-assets.com/books/1327930979m/24601.jpg,24601,4.32,6754,151,https://www.goodreads.com/book/show/24601.Paris_Spleen,Poetry,eng,118
A Season in Hell/The Drunken Boat,,"Although he stopped writing at the age of 19, Arthur Rimbaud (1854-91) possessed the most revolutionary talent of the century. His poetry & prose have increasingly influenced major writers. To his masterpiece A Season in Hellis here added Rimbaud's longest & possibly greatest single poem The Drunken Boat, with the original French en face Illuminations, Rimbaud's major works are available as bilingual New Directions Paperbooks. The reputation of A Season in Hell, which is a poetic record of a man's examination of his own depths, has steadily increased over the years. Upon the 1st publication of Varese's translation by New Directions, the Saturday Reviewwrote: ""One may at last suggest that the translation of A Season in Hellhas reached a conclusive point..."" Concerning the 25-stanza The Drunken Boat, Dr Enid Starkie of Oxford University has written: ""(It's) an anthology of separate lines of astonishing evocative magic which linger in the mind like isolated jewels."" Rimbaud's life was so extraordinary that it has taken on the quality of a myth. A biographical chronology is included.",https://images.gr-assets.com/books/1299439262m/128461.jpg,128461,4.35,6683,139,https://www.goodreads.com/book/show/128461.A_Season_in_Hell_The_Drunken_Boat,Poetry,eng,104
