goodreads_book_id,author_ids
2612,1439
2619,239579
2623,239579
2654,1825
2657,1825
2660,1825
2677,1831
2696,1838|267866
2715,1847
2723,1858
2725,1860|12806|400477
2743,1881
2744,1221698
2767,1899
2784,29919
2794,235
2811,106
2819,106
2823,1938|12398|319857
2834,1244|1948|130289
2839,1949
2865,1973
2872,1973
2873,1973
2879,1977
2899,39402
2923,18
2932,2007|3162937|6765
2956,1244|22653|2022
2998,2041
3008,2041|70772
3066,447|2617
3068,447|77129
3077,2098
3103,86404
3109,2121
3140,2147|2890739|3246912
3304,2238|30209
3378,1886
3388,2313
3412,4917067
3416,4917067
3437,1050
3438,1050
3445,2330
3446,2330
3464,2345
3466,2345
3467,2347
3473,2345
3478,2345
3507,2384
3532,410680|69892
3559,16759765
3562,5350
3581,2448
3636,2493
3679,2522
3682,2526
3686,7136914
3711,2522
3758,2565
3763,2565
3782,2951738|6877
3805,2578
3827,344522
3828,344522
3832,344522
3833,344522
3834,344522
3835,4037220|2599|236
3836,4037220|69766|492304
3867,2633
3869,1401|7085697|5760641
3872,2636
3876,1455
3973,2687
3977,2687
3980,2713
3985,2715
4004,566|488758
4005,566
4006,566|488758
4008,566|169609|215818
4069,2782
4099,2815|13
4122,2826|2834
4136,2849
4138,2849
4143,2849
4191,2887
4248,630
4256,1077326
4260,2929
4261,2929
4264,2929
4271,2929
4325,2987
4339,2996
4373,3028
4381,1630
4392,13450
4395,585
4397,585|3038|7568809
4406,585
4407,1221698
4408,585
4473,3075
4515,815
4530,3090
4584,2617
4588,2617
4600,3161
4610,3167
4620,2920167
4630,1455
4631,1455
4633,1455
4645,1455
4656,3075
4662,3190|7222053
4671,3190
4672,3190
4682,2749
4687,3075
4820,1641
4831,3299
4835,3299|2886033
4845,3307
4865,3317
4887,3335|395564
4900,3345
4906,3345|2942006
4912,3347
4921,3352
4934,3137322|3357|3358
4935,3137322
4944,3362
4948,3362
4952,3371
4953,3371
4965,211268
4978,3389|133241
4979,2778055
4980,2778055
4981,2778055
4982,2778055
4983,236|4420|70663|58220|6289|6293|2794198|4781010|15854|27158|4781011|18581|4781012|496576|414981
4984,2778055
4985,2778055
5053,3447
5064,3447
5084,3465|3464
5091,3389
5093,3389|2777560
5094,3389
5096,3389|10365
5107,819789
5113,819789
5128,3487
5129,3487
5130,3487
5159,3502
5160,3503
5168,3510
5171,3513
5174,3515
5176,3517
5191,3530
5196,3532
5197,3533
5198,3534
5203,3505
5204,3524
5210,704
5215,13450|50060
5219,3534
5220,3541
5246,16
5296,3565
5297,3565|1467
5308,585
5327,239579|738091
5328,239579
5338,239579|40641
5358,608211|721
5364,3617|920654|15053448
5367,3619
5368,3620
5405,3651
5413,3389|540202
5417,3389
5452,3681
5454,3681
5470,3706|8788
5471,3706|235
5472,3706|3956
5479,3487|3956
5481,3487
5485,3487
5507,3720
5526,2345
5527,3736
5544,1429989
5546,1429989|3757|3852271
5548,1429989
5559,3770|3768|3769
5571,3776|3775
5659,3843|3839
5693,5031025|3357|3358
5695,3137322|3357|3358
5700,3137322|3357|3358
5759,2546
5797,3953|40229
5805,3961|3960
5826,7136914
5845,3989
5872,4000
5890,4012|4011
5907,656983
5932,4026|32513|15141
5936,4026|54993
5954,1113469|155518
6138,4012|5421
6150,3527
6159,4174
6174,4187|1756476|463
6181,4187|1756476|83288
6194,4128
6206,4128
6259,4229
6273,4242|928
6288,4178
6294,4260
6295,4261|15435
6310,4273|146
6319,4273|146
6327,4273|146
6332,4273|146
6334,4280
6422,2384
6423,2384
6424,2384
6425,2384|334840
6426,2384
6427,2384
6440,4345
6514,4379
6528,1025097
6530,1025097
6531,1025097
6534,1025097
6537,1025097
6541,1025097
6551,4391|463
6555,4387
6556,4387
6588,3780
6628,4432
6668,4273|146
6670,4273|146
6689,4273|146
6691,4273
6749,4339
6759,4339
6794,6538289
6819,6538289
6853,2384
6854,2384
6856,2384
6867,2408
6868,2408
6870,2408
6900,2331|4840538
6956,2124
6969,1265|3487324
6976,4711
7023,4735|1100211
7035,4738
7036,4738
7042,4739|117988
7053,4738
7061,4738
7069,3075
7082,4764|3619
7089,1036736
7126,4785|224319
7144,3137322|10837
7178,819789
7182,4785|224319
7194,40398|35336
7230,4837
7244,3541
7264,4862
7332,656983|9533|4938
7337,656983|1067608
7343,4943
7346,656983|9533
7347,656983|9533
7354,1262010
7389,24514|4978
7445,3275
7482,4229
7493,1483
7526,776
7572,197
7597,13450|50060
7603,5151
7604,5152|45502
7612,585
7613,3706
7624,306
7656,1630
7661,5194
7667,5194
7669,5194
7679,5194
7695,5209
7714,5217
7728,1002|1399188
7733,1831|320473
7745,5237|14623
7752,5237
7763,5246
7772,61105
7779,61105
7783,61105
7784,61105
7805,5152
7815,238
7850,5285
7869,5293
7898,5306|2830639
7904,5306|5310
7925,5323
7967,589
7968,589
7996,5329
8084,5339
8089,5339
8091,5339
8128,5350
8146,5152
8151,5152
8153,5152|247233
8155,5353
8172,5363|3126872|3906402|479004|38797|12432
8203,5300|74646|590334
8337,5300|30916
8552,5561
8574,5561
8600,5571
8650,5194
8680,197
8694,4
8698,4
8719,5657
8722,5657
8725,5662
8737,5668|15082331|12673202
8797,1084267|443700|30209
8810,5735|11552
8816,5737|5735
8852,947
8908,5791
8909,880695|7779
8921,2448|6331|3493507|415985
8951,5816
8960,5816
9013,5857
9014,5858|3389
9082,5922
9282,6098
9298,6104
9301,6104
9303,6104
9328,2238|329811
9416,6160
9418,6160
9419,6160
9454,6188|6185|7597934
9462,879|13395658|55950|390801|47594|5256215|5795597|416443|28883|439960|1397128|577325|243607|164278|105510|964673|8403|17070|114040|637680|511236|5393087|518686|2715652|13851|813346|214801|904|217095|3012603|3012604|3012605|3012606|3012607|16125619
9475,6206
9489,1239
9516,6238|3043169
9517,6238|3141986
9539,6252
9549,6262
9555,3354|7306|323598
9557,3354|403782
9566,197
9570,197
9592,2778055
9594,2778055
9597,2778055
9619,1630
9646,3706|2116
9648,3706
9712,13450|2599
9717,6343|66349
9720,6343|66349
9723,6346
9777,6134
9799,6404
9804,155517|6409
9809,155517|6921
9813,155517
9838,769979|5825959
9865,3299
9868,3299
9889,431149
9912,2751
9913,2751
9914,2751
9915,2751
9924,431149
9943,6492
9948,6497
9961,2408
9998,6526|1078285
10006,296961
10033,1466|5789230|151884|27287
10050,6560
10065,6569|50418
10073,2929
10084,6587
10090,6587
10106,6583
10109,6583
10176,2849
10205,6669|90800
10210,1036615|6674
10238,6685
10336,6781
10374,3354|323598
10416,2655|2654
10503,1730|331254
10507,1730|6921|5776997
10534,1771|155021
10541,7
10566,3389
10569,3389
10572,346732
10574,3389
10580,25541|3389
10583,3389
10584,3389
10585,3389|3097120
10588,3389
10589,3389
10596,5858|3389
10603,3389
10605,5858|3389
10611,3389
10614,3389
10617,5858|3389
10618,3389
10619,3389
10628,3389|24690
10631,1350|476923
10639,6957
10692,5918
10739,337
10776,1455|415141
10778,1455
10799,1455|851957
10814,988142|18856|105770|162287
10847,1235
10877,5237
10883,7111
10884,7111
10890,7113
10908,7128
10909,7128
10910,7128
10914,7128
10915,7128
10916,7128
10917,7128
10956,1467
10959,1388082|5008438
10964,3617
10967,3617
10975,3535
10978,3535
10979,3535
10987,3617
10988,3617
10990,3617
11003,2384
11012,5144|621651
11013,5144
11016,1036615|8253
11026,239579|189384|3128534
11031,40398|24758
11033,40398|35336
11125,630
11127,1069006|25523
11129,1069006|25523
11137,1069006|60394
11138,1069006
11149,1069006
11166,1049|658034
11206,7277
11220,7285
11229,7287|331312
11253,7287
11275,3354|7306
11289,2687
11298,3354|323598
11301,61105
11313,7308
11318,1377
11334,3534
11389,7330|12584
11428,3159984
11430,3159984|7362
11432,3159984|7362
11433,3159984|7362
11434,3159984
11436,3159984|7362
11438,7363
11441,7363|21573
11446,7363
11449,7363
11548,5244478
11549,5244478
11551,5244478
11553,5244478
11555,5244478
11556,5244478
11557,5244478
11560,5244478
11563,3389
11566,3389
11569,3389
11572,3389|181407
11573,3389
11574,3389|608211
11580,3389|133241|5107531
11588,3389
11590,3389
11597,3389
11602,3389
11607,5858|3389
11623,4379|503412
11650,463
11654,463
11666,6878
11686,7464
11691,1728|157141
11693,1728|311178
11694,1728|873476
11711,7471
11741,7491
11761,233
11762,233
11765,233
11768,3075
11782,3524
11841,106
11890,7464|2278
11899,1432|3337314
11901,7577
11915,7581
11918,7581
11919,7581
11922,7581
11987,957894|2435
11989,957894|5744
11991,957894|2435
12006,7628
12013,5807106
12014,7628
12016,5807106
12021,7628
12067,1654|1221698
12070,1654|1221698
12075,7672
12096,7689|2867617|5785608
12142,7713|66350
12147,7717
12172,7732|59624
12187,5152
12194,3345
12274,5217|415220|472673
12279,1433597
12287,1433597
12296,7799|7798|26480
12358,2122|1886135
12384,7855
12395,7869|38449|940746
12468,7927
12496,4178
12497,4178
12505,3137322|69892|377462|11328|7945
12528,5209
12530,5209
12534,5209
12535,7113
12550,7963
12568,7970
12609,7982
12617,2476|7985
12618,2476|237615
12657,7995
12658,7995
12661,7995
12663,7995
12691,8002
12722,585
12749,233619|5602|27427
12781,3299
12842,8088
12873,2001717|52956
12885,8113
12898,8120
12931,2493
12938,947
12948,159
12957,947|569383|8140|23663|16347169
12985,947
12995,3535
12996,947
13006,947|235886
13007,947|569383|8140
13041,1113469
13079,8178
13103,8203
13131,3780|8215
13139,3780
13152,3780
13211,3503|65381|86742
13214,3503
13270,2192|81919
13376,8360
13397,9833874|3892
13398,9833874|18292|3892
13440,3389
13455,8419|29301|247356
13496,346732
13497,346732
13501,8454|8455|346732
13521,7025|6543253|17204500
13529,211268
13614,5502079|15577045
13615,5502079|15577045
13616,5502079|15577045
13617,5502079|15577045
13618,5502079|15577045
13619,5502079|15577045
13620,5502079|15577045
13623,5502079|15577045
13642,874602
13651,874602
13658,874602
13659,874602
13662,874602
13664,874602|389991
13733,1977
13735,1977
13806,8587
13809,8588
13810,8588
13811,8588
13812,8588
13814,8588
13817,8588
13821,3619|5787645
13824,3619
13827,3619
13829,8596
13833,8596
13834,8596
13836,8596
13837,8596
13872,8622
13888,6252
13890,6252
13891,6252
13895,6252
13922,8649
13925,8649
13928,8649
13929,8649
13932,8650
13943,8655
13983,8685
13986,8685
13997,8685
13998,8685
14002,8685|1967|34861|6256|11508|11759|721481|157655|103053|237175|32916|1223|8690|723397|9694|2772185|2799345|2845578|2905283
14028,8550|4740
14029,8550|435763
14032,8550|35258|4740
14050,498072
14064,8726
14082,1305302|3670
14117,8763|397577
14185,4764
14201,8842
14241,8865
14248,3541
14257,8869
14280,6410
14281,6410
14285,6410
14286,6410
14289,8881|144369
14295,8885
14345,1795488
14358,106
14362,8925
14383,4428
14384,4428
14386,4428
14467,8993|106015|28793
14497,1221698
14498,9018|205493|1221698
14570,1315
14572,9074|492021|570218
14606,9109|6474
14686,9172|1221698
14743,1194
14748,9212
14769,7385
14778,1250965
14836,3299
14865,7128
14891,2327917
14935,1265|43605|9321
14940,9322
14942,6765|26993
14960,3530
14975,9343
14978,9346
15003,3524
15014,9373|9370|9371|9372|1538
15015,9374
15050,9399
15055,9399
15159,9291
15177,9465
15195,5117
15196,5117
15197,5117
15232,9498|9497
15241,656983
15251,9511|9508
15320,9558
15329,656983
15348,4616903|181576|9571
15350,656983
15456,8516
15468,8516
15496,8516
15550,9629
15558,9629
15559,9629
15560,9629
15564,9629
15567,9629
15575,9629
15580,9629
15594,9639
15595,9640
15654,9678
15670,8835
15677,7622
15746,9355
15769,5293
15782,6569
15836,9800
15852,9810|56710|225525
15858,7025
15868,1077326|3410672|2831137
15872,1077326|9828
15876,1077326
15881,1077326|2927
15903,4738|510153
15925,2345
15926,2345
15931,2345
15993,2578
15997,9876|6527843
16033,6599
16055,7136914
16076,5132|849150|5815464
16179,9990
16181,9987
16182,9987
16183,9987
16188,9987
16200,9993
16213,9996
16220,10000
16222,10000
16235,51589
16243,10015
16251,13450|2599
16255,10022
16256,10022
16257,10022
16265,10022
16271,10029
16286,10039
16299,123715
16300,123715
16301,123715|132205
16303,123715
16306,123715
16307,123715
16308,123715
16312,123715|52942
16316,123715
16325,123715
16326,123715
16332,123715
16333,123715
16339,123715
16341,123715
16342,123715
16344,123715
16349,123715
16351,123715
16356,123715
16360,123715
16361,123715
16363,123715
16366,123715
16368,123715
16372,123715
16379,7963
16387,7963
16424,123715
16431,9355
16435,9355
16442,9833
16527,2238|30209
16556,2238
16599,10116|4743
16688,205
16694,656983|15513625|9545
16696,2715|6104415
16720,6404
16735,6942
16752,5194
16790,1221698
16791,1221698|12726|55811|43292
16792,1221698|10365
16793,1221698
16842,10229
16857,3190
16902,10264
16948,4007
16963,214|28939
16981,7508
16982,7338|13265
17020,10317
17061,1221698
17125,10420|192496
17162,10442
17206,8347
17208,205
17214,205
17231,10482
17245,6988|28273|44926
17250,8120|2772778
17267,1069006
17303,5544
17343,1069006
17349,10538|10537
17478,10657
17487,10657
17488,10657
17491,10657
17496,10657
17533,1315
17660,3389
17683,10746
17688,5223
17689,877884|3070002|13004|5223
17690,5223|13007|13006|13004
17692,5223|474837|5505393
17698,128382|121927|43530
17716,1433597
17727,1221698|15087|10762|10763|1230637|3619
17728,16|157819
17744,10775
17745,10775
17768,5600
17780,1641
17799,3354|403782
17800,3354
17801,3354|323598|403782
17810,8881|586051
17841,1730|6921
17861,8794
17876,3137322|805350|52218
17877,3137322|4504441
17881,3137322|340585
17994,10894
18003,3389|7430
18025,7963
18119,3618
18122,3618
18128,3389
18130,106
18131,106
18133,5152|7820029
18135,947|16347186
18185,10983|4136952
18194,10991|410354|3122459
18254,239579|68038|11022
18261,4699102|2774120
18266,11029|1804
18279,118600|167829
18342,3389
18373,11072
18386,128382|72230
18396,11078
18405,11081
18420,124038|174780
18422,11100|11099
18423,874602|2966914
18455,2565
18490,11139|45882|52850
18510,656983
18512,656983
18517,6765|7973
18521,6765
18525,11155
18545,293|2728994
18576,11187
18603,11195
18610,397|12474
18646,3277
18728,1476
18736,11278|3850205
18749,11291
18750,437669|7577
18789,3535
18796,233619|518992|590710|378477|6212|27112
18825,11337
18830,11337
18839,6765
18864,5237
18865,5237
18877,8587
18886,4841825
18892,4841825|34850
18937,545
18943,7025
19057,11466
19062,11466
19063,11466
19064,11466
19068,2192|3007845|8403|11471
19075,1461|1465|153935
19089,173|16272
19104,232932
19106,232932|472036
19126,8469|54848|15080169|234377
19155,5031312|11524
19298,11586
19314,410653|56041|6603
19321,11593
19336,11593
19380,5754446
19417,11633
19435,11639|11644|11643
19448,11654
19452,11654
19476,11672
19486,296961
19490,296961
19494,1411964
19501,11679
19508,909675
19534,11700
19543,4489
19578,6941
19593,6941
19668,3892
19670,3892
19675,3892
19687,3892
19795,11784
19802,11789
19809,11789
19821,25
19909,23
19910,23
20181,11957
20252,56|4845
20253,56|4845
20564,173|1169504
20692,193
20694,193
20811,14924681
20867,11762|3892|6802
20949,11789
21062,12352
21063,66700|1627|1996705
21322,12444|8999|15087|55811|92148|150817|4593073|9931|118461|13853447|10763
21323,9355|215502
21324,12444|55811|74339|330166|148765
21325,12444|55811|180972|74339|38328
21326,12444|171691|74339|180972|92148
21327,12444|55811|74339|176141|54927|148765
21328,12444|55811|21708|74339
21329,12444|55811|74339|92148
21330,12444|55811|74339|148764|54927
21341,12444|92149|148764|148765
21343,11503
21362,9355|813633
21436,3780|2942393|250909
21611,12476
21618,12476
21620,12476
21671,10289
21681,10289
21686,10289
21704,2887
21719,12504
21721,12504
21722,12504
21787,12521
21996,5869|511298
22028,12605
22034,12605|120257|178947
22076,3389
22135,24390
22155,12641
22162,10000
22186,12665
22188,12665
22205,2987
22207,12676
22221,903
22232,12696
22259,11214
22283,2546
22288,2546
22289,2546
22320,9226
22326,9226
22327,859143
22328,9226
22339,1221698|12726|55811|305137|3499618
22341,1221698|10365
22347,12732|12737|9931|183|19445
22351,12732|21709
22355,12732|89468|61904|286007|458815|149034
22357,12732|9931|24602|183475|554069|1230637
22358,12732|21709
22362,12732|10306|89366
22363,12732|12740
22364,12732|21709
22394,12732|783790|488727|22671|235045|21709|12737
22398,12732|12762|226558|88529|1230637|12737|81221|55811|305137
22401,12732|12762|226558
22406,12732|24602|37507
22416,12772|4825247|14965
22417,12772|12771
22418,12772|12771|12773
22419,12772|4825247|12424|8289697|55811|201505|12775|33532|205493|24595|12740|17303138|10455|205814|54360|52180|317625|4822
22420,12772|12771|12773|2256865
22421,12772|12771|12773|4825240
22422,12772|12771|12773
22423,12772|12771|12773
22424,12772|12771|12773
22425,12772|12771|12773
22426,12772|12771|12773|53010
22435,509
22469,12803|9717|156274|12801|12802
22470,14417372
22543,12855
22584,4764
22613,1264|3022691
22628,12898
22680,1483
22871,12980
22874,12980
22877,12980
22889,3502
22896,3502
22898,3502
22904,5223|33762|6878|13006|13007|2916716|778357|13005|6862227
22911,5223
22915,2938140|2938141
22917,2938140|2938141|283944|2726692|20105|4025890|778357
22932,13022|896611
23031,11337
23202,11679
23217,11654
23219,11654
23220,11654
23226,11654
23228,11664
23230,13139|11664
23289,5144
23340,6587
23418,13199
23419,13199
23420,13199
23522,13263|531088
23529,3961|5122|1935483
23534,13275
23597,656983|13330|13290|34748|14924012|20255|4790538|9545|4938|4790539
23613,4699102|656983|9533
23617,656983|9497|9498
23753,1221698|7271|12726|10224|61959|10763|24604|52930|554069|2807481|2808576|61964|321799|10365|13359
23754,1221698|13359|7271|52930|321799|4323624
23772,61105
23791,5031025|179415|69892
23807,12455
23814,4633123
23876,13450
23878,13450|50060
23884,13450|2599
23887,13450|50060
23919,4624490
23920,4624490
23942,4462369
23960,5687
23961,5687
23966,5687
23968,443210
24001,13424
24093,8596
24094,8596
24100,7728
24113,3034502
24128,947|16347169|569383|8140
24152,13589|198837
24155,13589|198837
24156,13589|198837
24178,988142|30916|3105
24213,8164|180439|7105
24220,8164|495248|180439
24244,12470
24248,13635
24271,13652
24280,13661|655301|444488
24283,13661|579496|273895
24337,13677
24408,7549
24431,8596
24441,589
24583,1244|2022|22653
24601,13847|3148830
24658,13879|198937
24724,1064072|6253
24763,13957
24766,13957
24767,13957
24769,13957
24770,13957
24779,8924
24780,8924
24781,8924
24782,8924
24783,8924
24784,8924
24785,8924
24790,2238
24800,13974
24812,13778
24814,13778
24816,13778
24818,13778
24830,1630
24869,26
24872,26
24914,12584
24929,7025|6543253
24963,7308
24965,6172|57193
24968,6172|14026|14027
24970,6172|3860459|57193
24983,14032
24984,14032
24986,14032
25013,14053
25017,14053
25019,14053
25059,14078
25099,1221698|554069|12726|10224|7271|52930|321799|10366
25100,1221698|10296|10763|24604|52930|5279
25101,1221698|9934|61983|81221|10296|38328|7271|52930|321799|7415
25102,1221698|330166|24604|264213|61983|430044|81221|321799
25103,1221698|57285|1231342|55811|2896683|24595|74339|92725|105778|1373293|264213|2568404|321799|10224|3389
25104,1221698|10224|12733|10763|9081
25105,1221698|9931|92725|6941
25106,1221698|264213|430044|38328|330166|2568404|9931|2896679|723222|321799
25172,14150
25175,14150
25179,14151
25190,437669|7577
25191,3439713|35262
25200,14164|14163
25347,7577
25350,1069006
25401,1388082|191735
25403,1388082|191735
25406,1388082|5008438
25419,14294
25460,3541|267117|14311|2931005
25491,8788
25669,14055
25790,9545|18409
25807,14473
25816,14471|14470|7065290
25870,306
25884,260713|327968
26046,625
26085,14610|304873|321634|18015
26114,6343
26187,630
26207,771
26212,771
26435,1069006
26482,4057
26511,14255
26582,437669|7577
26596,10547
26599,10547|139225
26690,8695
26931,15128
26999,4432
27000,4432
27001,4432
27002,4432
27003,4432
27005,4432
27091,10697
27208,15248
27297,15321|32575
27306,2637
27323,15328
27451,3190|7222053
27494,1438
27523,7625163|15412
27525,7625163|15412
27526,7625163|15412
27530,7625163|15412
27533,1254841|15458
27574,15496|145658
27693,15590
27712,15619|38449|262689
27785,7994|586904|184968
28024,14521|360476
28185,15872
28186,15872
28187,15872
28194,15873|25355
28195,15873|25355
28205,2828239
28229,15882
28246,15890
28247,15890
28248,15890
28249,15890
28250,15890
28251,15890
28271,869|868
28282,15907
28293,15923|15926
28348,3137322|3357|3358
28369,15957|225207|15924
28381,232932|6671
28385,233619|1052337|15967
28481,869|868
28482,869|868
28483,869|868
28484,869|868
28485,869|868
28507,869|868
28524,869
28541,26
28547,26
28553,26
28568,1612
28570,1612
28597,2918|50973
28635,6343|161782
28660,8591
28676,2751
28691,6587
28694,6587
28695,6587
28698,6587
28703,233
28733,8685
28734,8685
28735,8685
28759,8685
28859,1285555
28863,16202
28866,6268
28867,16204
28876,8730
28881,16218
28921,4280
28922,4280
28923,4280
29011,11646
29022,16319|31375|3012988
29044,8719
29059,2546
29118,869|868
29119,869|868
29127,1067608
29160,869|16028
29187,869|868
29204,344522
29209,11728
29254,14525|1372787
29289,14635
29313,16461
29396,10746
29497,16589|16591
29579,16667
29580,16667
29616,2387
29617,2387
29619,8840|2387
29623,8840|2387
29624,8840|2387
29718,16747|319857|4128
29776,463
29797,16244
29898,16865
29923,14655
29925,14655
29946,16904
29999,16927
30005,16927
30010,16667
30013,16667
30016,16667
30065,12425|16962|16966
30067,16961
30069,12425|16962|16966
30071,12425|16965|16962|16966
30117,435477
30118,435477
30119,435477
30120,435477
30166,1239
30183,17015|17010
30186,17015
30187,17015
30220,5129
30223,17015
30225,9550
30226,9550
30230,9550
30240,9550
30241,9550
30242,9550
30243,9550
30245,9550
30248,9550
30259,17054
30260,17054
30262,17054
30263,17054
30264,17054
30271,9550
30292,879|17070|55950
30331,17082
30349,6218
30362,6218
30374,6218
30403,6218
30437,6218
30474,7084|2900919|6441
30553,3706|371393
30557,3706
30594,5152
30633,1069006
30658,36556|586904
30659,17212|446070|164278
30672,17219|460050|2837061
30735,17241|1804
30771,17272
30851,5158478|157558|17384
30852,17290
30868,3541
30919,11315
30929,11315
31067,17435|17436
31093,401
31154,7625163|15412
31173,1036615|1169504|5237086|27003
31177,457
31180,457
31227,17509|5293
31242,239579|227267|3128534
31244,239579
31250,239579|120480|213519
31259,5293
31267,387044|5293
31268,5293
31299,123715|52942
31300,123715
31309,123715
31314,3161
31326,4176632
31330,7577
31331,7577
31333,7577
31335,7577
31336,7577
31337,7577
31338,7577
31341,7577
31342,7577
31352,589
31391,1402383
31456,4273|146
31463,15905|42277|527779
31476,17613
31493,6125
31555,17674|15460|843200
31646,4273
31693,1265|67296
31785,1938|14824|47586
31837,5589950|438906
31862,36556|586904
31975,18015|12775
31979,18015|12775
31981,18015|12775
32067,17623|7728|157127
32105,18067|67276
32143,16549
32145,7956
32226,1339
32234,3540
32257,18149
32261,15905|261798|134559
32263,18149
32275,1194|393238
32416,12455
32418,12455
32424,9355
32432,9355
32437,9355
32439,9355
32443,215502|9355
32453,215502|9355
32456,9355
32501,12470
32502,12470
32508,12470
32513,17061
32523,18282
32529,18282
32552,4624490|2874387
32585,18317|488173
32610,1401|135106|3072638|9810|79396|14190
32626,10366
32627,10366
32628,10366
32638,10366
32639,10366
32650,15905|93847
32669,3892
32680,3389|133241
32682,3892
32692,3389
32694,18341|3389
32769,9494
32807,18411
32957,13234
32978,6001|61762|3864880|5415434
32979,6001|3864880|28509
32982,6001|5415434
33052,18540
33144,3540
33175,13661|809296
33263,3354|403782
33297,18708
33418,18800
33426,18800
33436,18819
33441,16218
33445,18819
33449,1780|1779
33453,16218
33455,16218|748787
33456,16218
33457,16218
33458,16218
33507,696805|223300
33512,18854
33514,6437238|988142
33547,8726
33549,8726
33600,18907
33724,6160
33727,19005
33729,19005
33732,19005
33733,19005
33734,19005
33735,19005
33744,19005|19012|13635
33832,19038
33835,1276004
33917,3670
34057,6989
34080,18540|214066
34268,5255014|13290
34281,4260
34284,4260
34290,4260
34303,3532
34310,3532
34312,3532
34440,19405|60286
34448,5237
34459,8419|17910
34462,6263|98298
34473,6263|19428|16496708|4740|19427
34492,1654
34493,1654
34494,1654
34496,1654|257685
34497,1654
34501,1654
34504,1654
34507,1654
34508,19439|1654
34510,1654
34511,1654
34517,1654
34529,1654
34532,1654
34570,19467
34760,19630
34866,19706
34869,19708
34897,6252
34942,9629
34988,9629
35125,11735
35204,11735
35206,5775185|7306|3354|30068
35220,19879
35231,6252
35308,3936
35332,3159984|7362
35365,9885
35368,19971
35448,8154
35461,1567394
35476,7785453|20072
35519,20105|20107
35539,20125
35553,20136
35729,20248
35743,749461
35752,20258
35813,7779
35982,20357
36064,2887
36072,1538
36315,9494|20598|12540
36317,9494|10333
36320,9494|56943|57720|66700|117570|20598|12540|70167|23001|20602|18253|9016|52310|88014|10089|3389|10088
36321,9494|380649|1221698
36334,19053
36475,19109
37034,18874|377138
37036,18874
37060,20838
37100,20850
37186,13663|1354902
37187,13663
37296,4610
37297,4610
37303,4610
37339,9241
37347,20989
37398,3534
37415,15151
37435,4711
37442,7025|6543253
37449,1825
37451,12665
37470,9987
37526,947|569383|8140
37553,1265|21109|362983
37586,10896
37738,12942
37743,12942
37774,8051
37781,8051
37793,2730977|14242414
37813,1244|134252|62577
37819,6134
38030,21387
38180,21477
38210,570218|21499
38215,17208|8750
38262,2007
38333,21574
38436,21625
38447,3472
38462,10427
38469,10427
38500,13275
38502,13275
38504,13275
38529,17059
38548,17059
38562,17059
38564,21701
38568,17059
38619,21748
38647,21764|2041|360136|433174
38709,6569
38723,21798|3500
38787,21778|30209|7907
38855,16541
38980,11654|263994|1287453
38990,21982
39002,9222|796724
39020,22004
39031,12577|11091
39033,12577|11091
39045,22017
39058,22018|5735|49216
39106,22050|437910
39148,22067
39149,22067
